Toxicant,CB4855,CB4856,ECA36,ECA396,MY16,N2,RC301,XZ1516
2_4-D,3.65 ± 0.19,6.63 ± 0.53,4.51 ± 0.26,2.37 ± 0.1,3.84 ± 0.19,2.87 ± 0.13,3.4 ± 0.16,5.65 ± 0.36
Aldicarb,1.71 ± 0.06,2.19 ± 0.08,2.05 ± 0.08,1.89 ± 0.07,1.45 ± 0.05,2.01 ± 0.07,1.61 ± 0.05,1.98 ± 0.08
Arsenic trioxide,1.47 ± 0.07,1.24 ± 0.06,1.83 ± 0.08,1.41 ± 0.06,0.93 ± 0.05,1.63 ± 0.07,1.58 ± 0.07,1.65 ± 0.08
Atrazine,1.84 ± 0.08,1.41 ± 0.05,1.56 ± 0.06,1.28 ± 0.04,1.37 ± 0.05,1.95 ± 0.09,1.48 ± 0.05,1.72 ± 0.07
Cadmium chloride,1.63 ± 0.1,2.28 ± 0.12,2.14 ± 0.12,2.63 ± 0.14,2.37 ± 0.13,3.02 ± 0.14,2.72 ± 0.15,2.19 ± 0.12
Carbaryl,3.03 ± 0.16,2.98 ± 0.15,3.23 ± 0.18,1.62 ± 0.07,1.76 ± 0.08,3.13 ± 0.18,2.17 ± 0.11,2.12 ± 0.1
Carboxin,1.5 ± 0.07,1.29 ± 0.06,1.75 ± 0.08,1.32 ± 0.06,1.21 ± 0.05,1.6 ± 0.08,1.23 ± 0.05,1.45 ± 0.07
Chlorothalonil,1.47 ± 0.07,1.22 ± 0.05,1.44 ± 0.06,1.02 ± 0.03,1.43 ± 0.06,1.06 ± 0.04,1.37 ± 0.06,1.35 ± 0.06
Chlorpyrifos,1.35 ± 0.05,1.19 ± 0.05,1.19 ± 0.04,0.9 ± 0.03,0.91 ± 0.03,0.8 ± 0.03,1.16 ± 0.04,1.75 ± 0.07
Copper(II) chloride,1.62 ± 0.09,1.85 ± 0.11,1.58 ± 0.08,1.25 ± 0.06,1.8 ± 0.09,1.52 ± 0.07,1.45 ± 0.07,1.49 ± 0.08
Lead(II) nitrate,1.36 ± 0.07,1.16 ± 0.06,3.56 ± 0.27,1.64 ± 0.1,1.25 ± 0.07,3.47 ± 0.34,1.73 ± 0.11,3.66 ± 0.29
Mancozeb,1.72 ± 0.05,1.35 ± 0.04,1.5 ± 0.05,1.29 ± 0.04,1.88 ± 0.06,1.37 ± 0.04,1.29 ± 0.04,2.03 ± 0.07
Methomyl,1.46 ± 0.06,2.34 ± 0.1,2.02 ± 0.08,1.75 ± 0.07,1.62 ± 0.06,1.99 ± 0.09,1.79 ± 0.07,1.61 ± 0.06
Methylmercury chloride,0.99 ± 0.05,0.99 ± 0.05,1.03 ± 0.05,1.16 ± 0.06,0.9 ± 0.05,1.06 ± 0.05,1.21 ± 0.06,1.26 ± 0.07
Nickel chloride,4.3 ± 0.69,2.78 ± 0.2,4.26 ± 0.42,3.16 ± 0.22,2.61 ± 0.15,4.45 ± 0.48,12.84 ± 1.44,1.99 ± 0.12
Paraquat,0.87 ± 0.04,1.06 ± 0.04,1.1 ± 0.05,0.91 ± 0.03,0.91 ± 0.03,0.97 ± 0.04,0.9 ± 0.03,0.92 ± 0.04
Propoxur,0.8 ± 0.04,0.75 ± 0.03,0.59 ± 0.03,0.7 ± 0.03,0.64 ± 0.03,0.64 ± 0.03,0.57 ± 0.03,0.61 ± 0.03
Pyraclostrobin,0.68 ± 0.03,0.86 ± 0.04,0.94 ± 0.04,0.62 ± 0.02,0.75 ± 0.03,0.95 ± 0.04,0.9 ± 0.04,0.77 ± 0.03
Silver nitrate,1.06 ± 0.03,0.94 ± 0.03,0.96 ± 0.04,1.06 ± 0.04,0.63 ± 0.02,0.87 ± 0.03,0.84 ± 0.03,1.15 ± 0.04
Triphenyl phosphate,0.82 ± 0.02,1.08 ± 0.04,1.15 ± 0.04,0.95 ± 0.03,0.72 ± 0.02,1.24 ± 0.04,0.94 ± 0.03,1.22 ± 0.04
Zinc chloride,1.8 ± 0.07,1.6 ± 0.07,1.85 ± 0.08,1.41 ± 0.05,1.79 ± 0.07,1.88 ± 0.09,1.63 ± 0.06,1.61 ± 0.06
